comment_id,post_id,topic,comment_text,intent,sentiment_label,likes_on_comment,posted_on
C00065_P001,P001,Social Anxiety,ok this one hurt,ambiguous,relatable,7,2025-06-01
C00066_P001,P001,Social Anxiety,posted at the right time btw,generic,neutral,10,2025-06-01
C00067_P001,P001,Social Anxiety,dm for promotions :),generic,neutral,7,2025-06-01
C00068_P001,P001,Social Anxiety,not me my everyday routine istg,validation,relatable,14,2025-06-01
C00069_P001,P001,Social Anxiety,🔥🔥 btw,generic,neutral,12,2025-06-01
C00070_P001,P001,Social Anxiety,dm for promotions 🔥,generic,neutral,9,2025-06-01
C00071_P001,P001,Social Anxiety,the honesty is refreshing,ambiguous,relatable,6,2025-06-01
C00072_P001,P001,Social Anxiety,why is this too accurate lmaoo,validation,relatable,9,2025-06-01
C00073_P001,P001,Social Anxiety,the timing of this post is suspicious lol,validation,relatable,9,2025-06-01
C00074_P001,P001,Social Anxiety,not to be dramatic but this post understood me better than my last three conversations no cap,validation,relatable,13,2025-06-01
C00075_P001,P001,Social Anxiety,reading this at 3am was a mistake 🥲,validation,relatable,12,2025-06-01
C00076_P001,P001,Social Anxiety,that's too real lol,validation,relatable,14,2025-06-01
C00077_P001,P001,Social Anxiety,not to be dramatic but this post understood me better than my last three conversations 💀,validation,relatable,10,2025-06-01
C00078_P001,P001,Social Anxiety,wow okay then,ambiguous,neutral,7,2025-06-01
C00079_P001,P001,Social Anxiety,the algorithm finally did something right sis,generic,neutral,12,2025-06-01
C00080_P001,P001,Social Anxiety,i agree !!,generic,neutral,13,2025-06-01
C00081_P001,P001,Social Anxiety,this felt personal,ambiguous,relatable,11,2025-06-01
C00082_P001,P001,Social Anxiety,keep it up 👍,generic,neutral,13,2025-06-01
C00083_P001,P001,Social Anxiety,wait me in one post fr,validation,relatable,11,2025-06-01
C00084_P001,P001,Social Anxiety,that's the story of my life,validation,relatable,11,2025-06-01
C00085_P001,P001,Social Anxiety,saved this for the next time it happens istg,validation,relatable,10,2025-06-01
C00086_P001,P001,Social Anxiety,haha !!,generic,neutral,5,2025-06-01
C00087_P001,P001,Social Anxiety,excuse me my biography ong,validation,relatable,7,2025-06-01
C00088_P001,P001,Social Anxiety,"hold on, my biography",validation,relatable,6,2025-06-01
C00089_P001,P001,Social Anxiety,excuse me personal at this point 🥲🥲,validation,relatable,12,2025-06-01
C00090_P001,P001,Social Anxiety,I agree,generic,neutral,9,2025-06-01
C00091_P001,P001,Social Anxiety,no beacuse so me lol,validation,relatable,11,2025-06-01
C00092_P001,P001,Social Anxiety,the way my everyday routine ong,validation,relatable,15,2025-06-01
C00093_P001,P001,Social Anxiety,"came here to laugh, stayed to confront myself ?!",validation,relatable,9,2025-06-01
C00094_P001,P001,Social Anxiety,deep. very deep.,sarcasm,neutral,10,2025-06-01
C00095_P001,P001,Social Anxiety,your page will blow up sis,generic,neutral,13,2025-06-01
C00096_P001,P001,Social Anxiety,watched this five times already...,validation,relatable,9,2025-06-01
C00097_P001,P001,Social Anxiety,background music name? :),generic,neutral,7,2025-06-01
C00098_P001,P001,Social Anxiety,wait screenshot of my head 💀,validation,relatable,9,2025-06-01
C00099_P001,P001,Social Anxiety,true that ++,generic,neutral,8,2025-06-01
C00100_P001,P001,Social Anxiety,personally attacked,ambiguous,neutral,15,2025-06-01
C00101_P001,P001,Social Anxiety,when is part 2? bro,generic,neutral,13,2025-06-01
C00102_P001,P001,Social Anxiety,who allowed you to expose me like this 🥲🥲,validation,relatable,12,2025-06-01
C00103_P001,P001,Social Anxiety,the way I did this exact thing this morning and now I'm being called out publicly 😅,validation,relatable,14,2025-06-01
C00104_P001,P001,Social Anxiety,literally so me pls,validation,relatable,13,2025-06-01
C00105_P001,P001,Social Anxiety,sir this is my diary page no cap,validation,relatable,8,2025-06-01
C00106_P001,P001,Social Anxiety,keep it up 🔥,generic,neutral,15,2025-06-01
C00107_P001,P001,Social Anxiety,this speaks for my whole generation yaar,validation,relatable,11,2025-06-01
C00108_P001,P001,Social Anxiety,posted at the right time bro,generic,neutral,13,2025-06-01
C00109_P001,P001,Social Anxiety,bro it me 💀,validation,relatable,15,2025-06-01
C00110_P001,P001,Social Anxiety,exactly this,ambiguous,relatable,9,2025-06-01
C00111_P001,P001,Social Anxiety,DESERVES WAY MORE LIKES BTW,generic,neutral,7,2025-06-01
C00112_P001,P001,Social Anxiety,that's my whole life,validation,relatable,9,2025-06-01
C00113_P001,P001,Social Anxiety,the caption though,ambiguous,neutral,10,2025-06-01
C00114_P001,P001,Social Anxiety,I came to instagram to turn my brain off and instead you described it perfectly no cap,validation,relatable,13,2025-06-01
C00115_P001,P001,Social Anxiety,no because my whole life 😭😭,validation,relatable,14,2025-06-01
C00116_P001,P001,Social Anxiety,wait a documentary about me 🥲🥲,validation,relatable,4,2025-06-01
C00117_P001,P001,Social Anxiety,I live this every single day lmaoo,validation,relatable,11,2025-06-01
C00118_P001,P001,Social Anxiety,lol ok macha,generic,neutral,10,2025-06-01
C00119_P001,P001,Social Anxiety,ok but my biography,validation,relatable,8,2025-06-01
C00000_P002,P002,Dating & Situationships,reading this at 3am was a mistake...,validation,relatable,10,2025-06-02
C00001_P002,P002,Dating & Situationships,not me personal at this point 😭😭,validation,relatable,17,2025-06-02
C00002_P002,P002,Dating & Situationships,reading this at 3am was a mistake lmaoo,validation,relatable,16,2025-06-02
C00003_P002,P002,Dating & Situationships,literally screenshot of my haed ong,validation,relatable,9,2025-06-02
C00004_P002,P002,Dating & Situationships,smooth transitions,generic,neutral,11,2025-06-02
C00005_P002,P002,Dating & Situationships,great content macha,generic,neutral,9,2025-06-02
C00006_P002,P002,Dating & Situationships,🔥🔥 !!,generic,neutral,9,2025-06-02
C00007_P002,P002,Dating & Situationships,I live this every single day anna,validation,relatable,6,2025-06-02
C00008_P002,P002,Dating & Situationships,he said 'we'll see' and I said ok like a fool,personal_story,relatable,12,2025-06-02
C00009_P002,P002,Dating & Situationships,first comment bro,generic,neutral,11,2025-06-02
C00010_P002,P002,Dating & Situationships,TRUE :),generic,neutral,6,2025-06-02
C00011_P002,P002,Dating & Situationships,watched this five times already pls,validation,relatable,9,2025-06-02
C00012_P002,P002,Dating & Situationships,mine left me on delivered for 3 days 😭,personal_story,relatable,15,2025-06-02
C00013_P002,P002,Dating & Situationships,"found this page today, already binged everything macha",generic,neutral,9,2025-06-02
C00014_P002,P002,Dating & Situationships,I can't,ambiguous,relatable,8,2025-06-02
C00015_P002,P002,Dating & Situationships,I paused. sat down. processed. same. lol,validation,relatable,11,2025-06-02
C00016_P002,P002,Dating & Situationships,nah too real ong,validation,relatable,18,2025-06-02
C00017_P002,P002,Dating & Situationships,I relate to this too much pls,validation,relatable,9,2025-06-02
C00018_P002,P002,Dating & Situationships,no yeah,ambiguous,relatable,12,2025-06-02
C00019_P002,P002,Dating & Situationships,I didn't consent to being exposed!!,validation,relatable,13,2025-06-02
C00020_P002,P002,Dating & Situationships,I live this every single day fr,validation,relatable,9,2025-06-02
C00021_P002,P002,Dating & Situationships,do a collab with us ++,generic,neutral,13,2025-06-02
C00022_P002,P002,Dating & Situationships,"why does this have no likes, underrated",question,neutral,10,2025-06-02
C00023_P002,P002,Dating & Situationships,every frame is my biography ngl,validation,relatable,12,2025-06-02
C00024_P002,P002,Dating & Situationships,reading this at 3am was a mistake ngl,validation,relatable,12,2025-06-02
C00025_P002,P002,Dating & Situationships,sir this is my diary page ngl,validation,relatable,11,2025-06-02
C00026_P002,P002,Dating & Situationships,check my page !!,generic,neutral,7,2025-06-02
C00000_P003,P003,Money Struggles,check my page,generic,neutral,12,2025-06-04
C00001_P003,P003,Money Struggles,genuinely how do you know my life 😭,validation,relatable,8,2025-06-04
C00002_P003,P003,Money Struggles,your page will blow up bro,generic,neutral,12,2025-06-04
C00003_P003,P003,Money Struggles,i paused. sat down. processed. same. 😭,validation,relatable,10,2025-06-04
C00004_P003,P003,Money Struggles,ok but me in one post 💀,validation,relatable,15,2025-06-04
C00005_P003,P003,Money Struggles,FR SO ME,validation,relatable,8,2025-06-04
C00006_P003,P003,Money Struggles,wait my biography 😅,validation,relatable,9,2025-06-04
C00007_P003,P003,Money Struggles,this speaks for my whole generation bhai,validation,relatable,7,2025-06-04
C00008_P003,P003,Money Struggles,that's my last three yeaaars in one video...,validation,relatable,15,2025-06-04
C00009_P003,P003,Money Struggles,no literally,ambiguous,neutral,14,2025-06-04
C00010_P003,P003,Money Struggles,watched this five times already no cap,validation,relatable,9,2025-06-04
C00011_P003,P003,Money Struggles,fr so me...,validation,relatable,12,2025-06-04
C00012_P003,P003,Money Struggles,"found this page today, already binged everything 🔥",generic,neutral,13,2025-06-04
C00013_P003,P003,Money Struggles,haha macha,generic,neutral,11,2025-06-04
C00014_P003,P003,Money Struggles,follow for follow? macha,generic,neutral,11,2025-06-04
C00000_P004,P004,College & Hostel Life,the edit quality is insane :),generic,neutral,12,2025-06-05
C00001_P004,P004,College & Hostel Life,this speaks for my whole generation lmaoo,validation,relatable,4,2025-06-05
C00002_P004,P004,College & Hostel Life,I'm in this post and I don't like it 🥲🥲,validation,relatable,7,2025-06-05
C00003_P004,P004,College & Hostel Life,true :),generic,neutral,12,2025-06-05
C00004_P004,P004,College & Hostel Life,why does this feel personal fr fr,validation,relatable,4,2025-06-05
C00005_P004,P004,College & Hostel Life,the edit quality is insane,generic,neutral,8,2025-06-05
C00006_P004,P004,College & Hostel Life,free followers iiin bio btw,generic,neutral,11,2025-06-05
C00007_P004,P004,College & Hostel Life,song name please? 👍,generic,neutral,12,2025-06-05
C00008_P004,P004,College & Hostel Life,not me the story of my life ong,validation,relatable,12,2025-06-05
C00009_P004,P004,College & Hostel Life,underrated page fr sis,generic,neutral,9,2025-06-05
C00010_P004,P004,College & Hostel Life,is this based on real events?,question,neutral,12,2025-06-05
C00011_P004,P004,College & Hostel Life,when is part 2?,generic,neutral,9,2025-06-05
C00012_P004,P004,College & Hostel Life,wow okay,ambiguous,neutral,9,2025-06-05
C00013_P004,P004,College & Hostel Life,background music name?,generic,neutral,13,2025-06-05
C00014_P004,P004,College & Hostel Life,why does this feel personal 😭,validation,relatable,12,2025-06-05
C00015_P004,P004,College & Hostel Life,great content,generic,neutral,14,2025-06-05
C00016_P004,P004,College & Hostel Life,I felt that 🥲🥲,validation,relatable,12,2025-06-05
C00017_P004,P004,College & Hostel Life,"everyone overthinks, nothing special",sarcasm,neutral,11,2025-06-05
C00018_P004,P004,College & Hostel Life,THIS IS SO ME LMAO,validation,relatable,7,2025-06-05
C00019_P004,P004,College & Hostel Life,this is my whole life fr fr,validation,relatable,10,2025-06-05
C00020_P004,P004,College & Hostel Life,NO BECAUSE MY WHOLE LIFE!!,validation,relatable,9,2025-06-05
C00021_P004,P004,College & Hostel Life,hmm,ambiguous,neutral,9,2025-06-05
C00022_P004,P004,College & Hostel Life,any tips for the 2am version of this?,question,neutral,17,2025-06-05
C00023_P004,P004,College & Hostel Life,can we get a version with english subtitles?,question,neutral,10,2025-06-05
C00024_P004,P004,College & Hostel Life,instagram therapists at it again,sarcasm,neutral,15,2025-06-05
C00025_P004,P004,College & Hostel Life,yeah.,ambiguous,relatable,12,2025-06-05
C00026_P004,P004,College & Hostel Life,this is the story of my life da,validation,relatable,13,2025-06-05
C00027_P004,P004,College & Hostel Life,which app is this? ++,generic,neutral,11,2025-06-05
C00028_P004,P004,College & Hostel Life,what camera do you use?,question,neutral,11,2025-06-05
C00029_P004,P004,College & Hostel Life,nah me in one post fr,validation,relatable,11,2025-06-05
C00030_P004,P004,College & Hostel Life,free followers in bio sis,generic,neutral,8,2025-06-05
C00031_P004,P004,College & Hostel Life,"why doees this have no likes, underrated",question,neutral,12,2025-06-05
C00032_P004,P004,College & Hostel Life,8am classes should be illegal,personal_story,relatable,9,2025-06-05
C00033_P004,P004,College & Hostel Life,posted at the right time macha,generic,neutral,5,2025-06-05
C00034_P004,P004,College & Hostel Life,so true ++,generic,neutral,12,2025-06-05
C00035_P004,P004,College & Hostel Life,bro my whole life...,validation,relatable,8,2025-06-05
C00036_P004,P004,College & Hostel Life,that hit close to home 🥲🥲,validation,relatable,16,2025-06-05
C00037_P004,P004,College & Hostel Life,our mess soup is just hot water with regret,personal_story,relatable,16,2025-06-05
C00038_P004,P004,College & Hostel Life,dm for promotions bro,generic,neutral,15,2025-06-05
C00039_P004,P004,College & Hostel Life,I felt that 😭😭,validation,relatable,10,2025-06-05
C00040_P004,P004,College & Hostel Life,took the words right out of my mouth istg,validation,relatable,5,2025-06-05
C00041_P004,P004,College & Hostel Life,ok but literally me 😭😭,validation,relatable,15,2025-06-05
C00042_P004,P004,College & Hostel Life,when is part 2? !!,generic,neutral,10,2025-06-05
C00043_P004,P004,College & Hostel Life,not this again,ambiguous,relatable,16,2025-06-05
C00044_P004,P004,College & Hostel Life,ok so exactly what i go through,validation,relatable,16,2025-06-05
C00045_P004,P004,College & Hostel Life,bro my whole life 🥲🥲,validation,relatable,14,2025-06-05
C00046_P004,P004,College & Hostel Life,you read my diary 😭😭,validation,relatable,9,2025-06-05
C00047_P004,P004,College & Hostel Life,ok this one hurt,ambiguous,neutral,10,2025-06-05
C00048_P004,P004,College & Hostel Life,SO TRUE,generic,neutral,14,2025-06-05
C00049_P004,P004,College & Hostel Life,haha ture 🔥,generic,neutral,9,2025-06-05
C00050_P004,P004,College & Hostel Life,why does this feel personal ?!,validation,relatable,8,2025-06-05
C00051_P004,P004,College & Hostel Life,I didn't consent to being exposed 😭,validation,relatable,11,2025-06-05
C00052_P004,P004,College & Hostel Life,why is this too accurate pls,validation,relatable,15,2025-06-05
C00053_P004,P004,College & Hostel Life,painfully accurate!!,validation,relatable,12,2025-06-05
C00054_P004,P004,College & Hostel Life,literally my everyday routine 😅,validation,relatable,11,2025-06-05
C00055_P004,P004,College & Hostel Life,🔥🔥 macha,generic,neutral,7,2025-06-05
C00056_P004,P004,College & Hostel Life,facts macha,generic,neutral,12,2025-06-05
C00057_P004,P004,College & Hostel Life,free followers in bio macha,generic,neutral,18,2025-06-05
C00058_P004,P004,College & Hostel Life,hurts but fair,ambiguous,relatable,8,2025-06-05
C00059_P004,P004,College & Hostel Life,I relate to this too much ong,validation,relatable,11,2025-06-05
C00060_P004,P004,College & Hostel Life,watched this five times already 😭,validation,relatable,14,2025-06-05
C00061_P004,P004,College & Hostel Life,wow okay then,ambiguous,neutral,13,2025-06-05
C00062_P004,P004,College & Hostel Life,reading this at 3am was a mistake anna,validation,relatable,12,2025-06-05
C00063_P004,P004,College & Hostel Life,I'm crying,ambiguous,relatable,12,2025-06-05
C00064_P004,P004,College & Hostel Life,yes because everyone does this obviously,sarcasm,neutral,10,2025-06-05
C00065_P004,P004,College & Hostel Life,"hold on, my last three years in one video pls",validation,relatable,9,2025-06-05
C00066_P004,P004,College & Hostel Life,awesooome work macha,generic,neutral,13,2025-06-05
C00067_P004,P004,College & Hostel Life,reporting this for personal damage da,validation,relatable,13,2025-06-05
C00068_P004,P004,College & Hostel Life,check my page bro,generic,neutral,14,2025-06-05
C00000_P005,P005,Family Pressure,"came here to laugh, stayed to confront myself...",validation,relatable,6,2025-06-06
C00001_P005,P005,Family Pressure,'log kya kahenge' has ruined more careers than failure ever did,personal_story,relatable,10,2025-06-06
C00002_P005,P005,Family Pressure,OK SO MY EVERYDAY ROUTINE LOL,validation,relatable,11,2025-06-06
C00003_P005,P005,Family Pressure,the algorithm finally did something right :),generic,neutral,9,2025-06-06
C00004_P005,P005,Family Pressure,not me the story of my life 😭😭,validation,relatable,11,2025-06-06
C00005_P005,P005,Family Pressure,first comment ++,generic,neutral,6,2025-06-06
C00006_P005,P005,Family Pressure,superb !!,generic,neutral,6,2025-06-06
C00007_P005,P005,Family Pressure,haha :),generic,neutral,14,2025-06-06
C00008_P005,P005,Family Pressure,😍 bro,generic,neutral,10,2025-06-06
C00009_P005,P005,Family Pressure,the timing of this post is suspicious ngl,validation,relatable,7,2025-06-06
C00010_P005,P005,Family Pressure,not me personal at this point,validation,relatable,11,2025-06-06
C00011_P005,P005,Family Pressure,a mood,ambiguous,neutral,13,2025-06-06
C00012_P005,P005,Family Pressure,WHY IS THIS PERSONAL AT THIS POINT ONG,validation,relatable,8,2025-06-06
C00013_P005,P005,Family Pressure,"everyone overthinks, nothing special",sarcasm,neutral,12,2025-06-06
C00014_P005,P005,Family Pressure,great content sis,generic,neutral,7,2025-06-06
C00015_P005,P005,Family Pressure,painfully accurate lol,validation,relatable,6,2025-06-06
C00016_P005,P005,Family Pressure,posted at the right time 👍,generic,neutral,11,2025-06-06
C00017_P005,P005,Family Pressure,follow for follow? ++,generic,neutral,11,2025-06-06
C00018_P005,P005,Family Pressure,wow so relatable 🙄,sarcasm,neutral,12,2025-06-06
C00019_P005,P005,Family Pressure,deserves way more likes sis,generic,neutral,13,2025-06-06
C00020_P005,P005,Family Pressure,"watched this, closed the app, opened it again, watched it again. yeah. anna",validation,relatable,17,2025-06-06
C00021_P005,P005,Family Pressure,i paused. sat down. processed. same. yaar,validation,relatable,11,2025-06-06
C00022_P005,P005,Family Pressure,WAIT SO ME DA,validation,relatable,9,2025-06-06
C00023_P005,P005,Family Pressure,i didn't consent to being exposed fr fr,validation,relatable,13,2025-06-06
C00024_P005,P005,Family Pressure,excuse me my brain on a normal tuesday lmao,validation,relatable,9,2025-06-06
C00025_P005,P005,Family Pressure,the way it me 😭😭,validation,relatable,10,2025-06-06
C00026_P005,P005,Family Pressure,🔥🔥 macha,generic,neutral,7,2025-06-06
C00027_P005,P005,Family Pressure,the caption though,ambiguous,relatable,5,2025-06-06
C00028_P005,P005,Family Pressure,no because my everyday routine,validation,relatable,16,2025-06-06
C00029_P005,P005,Family Pressure,this speaks for my whole generation lmao,validation,relatable,14,2025-06-06
C00030_P005,P005,Family Pressure,THIS IS LITERALLY ME ANNA,validation,relatable,12,2025-06-06
C00031_P005,P005,Family Pressure,FACTS SIS,generic,neutral,10,2025-06-06
C00032_P005,P005,Family Pressure,THE EDIT QUALITY IS INSANE :),generic,neutral,8,2025-06-06
C00033_P005,P005,Family Pressure,YOU READ MY DIARY YAAR,validation,relatable,8,2025-06-06
C00034_P005,P005,Family Pressure,wait my biography ?!,validation,relatable,9,2025-06-06
C00035_P005,P005,Family Pressure,background music name? btw,generic,neutral,11,2025-06-06
C00036_P005,P005,Family Pressure,any tips for the 2am version of this?,question,neutral,12,2025-06-06
C00037_P005,P005,Family Pressure,reporting this for personal damage 😅,validation,relatable,12,2025-06-06
C00038_P005,P005,Family Pressure,cool edit 👍,generic,neutral,9,2025-06-06
C00039_P005,P005,Family Pressure,no because my whole life...,validation,relatable,16,2025-06-06
C00040_P005,P005,Family Pressure,not me my brain on a normal tuesday ngl,validation,relatable,13,2025-06-06
C00041_P005,P005,Family Pressure,how do you deal with this though?,question,neutral,11,2025-06-06
C00042_P005,P005,Family Pressure,"I'm the family NGO, free labour included",personal_story,relatable,12,2025-06-06
C00043_P005,P005,Family Pressure,sir this is my diary page ong,validation,relatable,10,2025-06-06
C00044_P005,P005,Family Pressure,"found this page today, already binged everything!",generic,neutral,9,2025-06-06
C00045_P005,P005,Family Pressure,why does this feel personal 😭,validation,relatable,10,2025-06-06
C00046_P005,P005,Family Pressure,can you do one on exam results?,question,neutral,13,2025-06-06
C00047_P005,P005,Family Pressure,I can't,ambiguous,neutral,5,2025-06-06
C00048_P005,P005,Family Pressure,🔥🔥 BRO,generic,neutral,7,2025-06-06
C00049_P005,P005,Family Pressure,this is so me fr fr,validation,relatable,6,2025-06-06
C00050_P005,P005,Family Pressure,follow for follow? btw,generic,neutral,6,2025-06-06
C00051_P005,P005,Family Pressure,"why does this have no likes, underrated",question,neutral,14,2025-06-06
C00052_P005,P005,Family Pressure,love this page 👍,generic,neutral,12,2025-06-06
C00053_P005,P005,Family Pressure,painfully accurate 😭😭,validation,relatable,10,2025-06-06
C00054_P005,P005,Family Pressure,exactly.,ambiguous,neutral,7,2025-06-06
C00055_P005,P005,Family Pressure,song name please? :),generic,neutral,11,2025-06-06
C00056_P005,P005,Family Pressure,painfully accurate pls,validation,relatable,10,2025-06-06
C00057_P005,P005,Family Pressure,every frame is my biography lmao,validation,relatable,8,2025-06-06
C00058_P005,P005,Family Pressure,seen.,ambiguous,relatable,10,2025-06-06
C00059_P005,P005,Family Pressure,posted at the right time btw,generic,neutral,10,2025-06-06
C00060_P005,P005,Family Pressure,the timing of this post is suspicious bhai,validation,relatable,12,2025-06-06
C00061_P005,P005,Family Pressure,sadly accurate,ambiguous,neutral,12,2025-06-06
C00062_P005,P005,Family Pressure,excuse me exactly what i go through ong,validation,relatable,6,2025-06-06
C00063_P005,P005,Family Pressure,this is my whole life fr,validation,relatable,10,2025-06-06
C00064_P005,P005,Family Pressure,part 2 please?,question,neutral,12,2025-06-06
C00065_P005,P005,Family Pressure,literally my last three yeeears in one video lol,validation,relatable,11,2025-06-06
C00066_P005,P005,Family Pressure,you read my diary fr,validation,relatable,14,2025-06-06
C00067_P005,P005,Family Pressure,"HOLD ON, SCREENSHOT OF MY HEAD LMAOO",validation,relatable,12,2025-06-06
C00068_P005,P005,Family Pressure,hello?? literally me,validation,relatable,8,2025-06-06
C00069_P005,P005,Family Pressure,I agree 🔥,generic,neutral,7,2025-06-06
C00070_P005,P005,Family Pressure,"came here to laugh, stayed to confront myself fr fr",validation,relatable,12,2025-06-06
C00071_P005,P005,Family Pressure,it's too accurate fr fr,validation,relatable,5,2025-06-06
C00072_P005,P005,Family Pressure,saved this for the next time it happens da,validation,relatable,11,2025-06-06
C00073_P005,P005,Family Pressure,stop describing me yaar,validation,relatable,16,2025-06-06
C00074_P005,P005,Family Pressure,I DIDN'T CONSENT TO BEING EXPOSED,validation,relatable,11,2025-06-06
