keyword,day,interest
social battery,99,42.5
social battery,100,46.9
social battery,101,41.0
social battery,102,43.2
social battery,103,36.9
social battery,104,37.8
social battery,105,34.2
social battery,106,34.7
social battery,107,37.0
social battery,108,28.3
social battery,109,33.9
social battery,110,32.8
social battery,111,30.0
social battery,112,27.5
social battery,113,32.4
social battery,114,31.2
social battery,115,34.3
social battery,116,34.7
social battery,117,40.7
social battery,118,36.5
social battery,119,35.4
social battery,120,40.3
social battery,121,41.6
social battery,122,46.0
social battery,123,45.2
social battery,124,44.3
social battery,125,47.9
social battery,126,39.8
social battery,127,41.1
social battery,128,39.6
social battery,129,40.3
social battery,130,36.3
social battery,131,41.1
social battery,132,37.2
social battery,133,32.0
social battery,134,32.1
social battery,135,34.9
social battery,136,35.4
social battery,137,38.1
social battery,138,40.3
social battery,139,32.5
social battery,140,28.3
social battery,141,25.2
social battery,142,33.0
social battery,143,30.6
social battery,144,32.9
social battery,145,33.5
social battery,146,36.2
social battery,147,41.1
social battery,148,39.7
social battery,149,39.9
social battery,150,38.3
social battery,151,37.1
social battery,152,41.2
social battery,153,42.8
social battery,154,48.2
social battery,155,42.9
social battery,156,44.8
social battery,157,39.4
social battery,158,36.3
social battery,159,35.7
social battery,160,35.1
social battery,161,42.3
social battery,162,32.1
social battery,163,35.9
social battery,164,29.6
social battery,165,34.3
social battery,166,32.1
social battery,167,30.2
social battery,168,30.6
social battery,169,29.1
social battery,170,33.0
social battery,171,31.1
social battery,172,29.9
social battery,173,30.9
social battery,174,36.6
social battery,175,42.1
social battery,176,39.1
social battery,177,39.5
social battery,178,41.7
social battery,179,45.5
situationship,0,51.8
situationship,1,56.6
situationship,2,55.1
situationship,3,59.2
situationship,4,56.0
situationship,5,52.8
situationship,6,53.5
situationship,7,63.7
situationship,8,65.0
situationship,9,60.3
situationship,10,60.6
situationship,11,66.8
situationship,12,59.6
situationship,13,60.4
situationship,14,65.0
situationship,15,61.6
situationship,16,62.3
situationship,17,61.1
situationship,18,61.8
situationship,19,64.0
situationship,20,58.9
situationship,21,59.5
situationship,22,50.3
situationship,23,55.3
situationship,24,52.1
situationship,25,50.3
situationship,26,50.9
situationship,27,52.3
situationship,28,56.1
situationship,29,49.6
situationship,30,54.2
situationship,31,53.4
situationship,32,54.8
situationship,33,59.8
situationship,34,59.5
situationship,35,63.0
situationship,36,59.7
situationship,37,59.0
situationship,38,61.3
situationship,39,63.4
situationship,40,63.7
situationship,41,60.1
situationship,42,63.6
situationship,43,63.8
situationship,44,70.2
situationship,45,67.5
situationship,46,58.5
situationship,47,59.1
situationship,48,54.5
situationship,49,56.0
situationship,50,57.7
situationship,51,59.4
situationship,52,52.7
situationship,53,52.3
situationship,54,47.3
situationship,55,53.1
situationship,56,50.4
situationship,57,52.3
situationship,58,51.8
situationship,59,54.9
situationship,60,50.8
situationship,61,52.7
situationship,62,64.6
situationship,63,55.4
situationship,64,57.1
situationship,65,66.9
situationship,66,71.0
situationship,67,59.5
situationship,68,62.3
situationship,69,64.7
situationship,70,68.8
situationship,71,60.4
situationship,72,62.2
situationship,73,64.5
situationship,74,62.6
situationship,75,59.2
situationship,76,58.8
situationship,77,54.0
situationship,78,56.3
situationship,79,55.2
situationship,80,55.9
situationship,81,52.8
situationship,82,55.5
situationship,83,56.9
situationship,84,54.4
situationship,85,55.2
situationship,86,54.8
situationship,87,55.4
situationship,88,54.2
situationship,89,58.3
situationship,90,58.2
situationship,91,65.9
situationship,92,65.4
situationship,93,62.8
situationship,94,60.3
situationship,95,59.9
situationship,96,67.3
situationship,97,64.7
situationship,98,65.4
situationship,99,58.4
situationship,100,66.0
situationship,101,63.8
situationship,102,58.2
situationship,103,59.2
situationship,104,60.3
situationship,105,58.5
situationship,106,56.4
situationship,107,56.0
situationship,108,54.7
situationship,109,55.3
situationship,110,58.8
situationship,111,46.4
situationship,112,53.5
situationship,113,55.0
situationship,114,55.9
situationship,115,54.6
situationship,116,51.3
situationship,117,58.6
situationship,118,63.9
situationship,119,55.3
situationship,120,63.6
situationship,121,61.0
situationship,122,62.7
situationship,123,60.4
situationship,124,63.0
situationship,125,68.1
situationship,126,66.0
situationship,127,69.1
situationship,128,67.0
situationship,129,64.1
situationship,130,67.1
situationship,131,62.2
situationship,132,62.2
situationship,133,57.8
situationship,134,57.8
situationship,135,54.5
situationship,136,58.7
situationship,137,51.5
situationship,138,57.0
situationship,139,53.8
situationship,140,58.0
situationship,141,57.0
situationship,142,60.7
situationship,143,58.2
situationship,144,52.2
situationship,145,57.7
situationship,146,55.5
situationship,147,58.6
situationship,148,65.8
situationship,149,64.2
situationship,150,61.0
situationship,151,60.8
situationship,152,64.4
situationship,153,60.9
situationship,154,62.5
situationship,155,65.2
situationship,156,67.2
situationship,157,64.8
situationship,158,55.3
situationship,159,62.0
situationship,160,60.3
situationship,161,60.2
situationship,162,62.7
situationship,163,50.7
situationship,164,54.2
situationship,165,57.1
situationship,166,50.2
situationship,167,59.1
situationship,168,55.8
situationship,169,57.6
situationship,170,53.8
situationship,171,58.7
situationship,172,60.4
situationship,173,58.9
situationship,174,60.0
situationship,175,61.2
situationship,176,58.9
situationship,177,62.1
situationship,178,62.9
situationship,179,65.2
oldest daughter syndrome,0,10.5
oldest daughter syndrome,1,13.3
oldest daughter syndrome,2,17.6
oldest daughter syndrome,3,13.5
oldest daughter syndrome,4,14.1
oldest daughter syndrome,5,17.0
oldest daughter syndrome,6,19.0
oldest daughter syndrome,7,17.6
oldest daughter syndrome,8,20.8
oldest daughter syndrome,9,20.0
oldest daughter syndrome,10,19.9
oldest daughter syndrome,11,19.2
oldest daughter syndrome,12,22.8
oldest daughter syndrome,13,16.9
oldest daughter syndrome,14,12.5
oldest daughter syndrome,15,19.9
oldest daughter syndrome,16,14.8
oldest daughter syndrome,17,15.5
oldest daughter syndrome,18,17.6
oldest daughter syndrome,19,10.8
oldest daughter syndrome,20,11.2
oldest daughter syndrome,21,10.2
oldest daughter syndrome,22,11.9
oldest daughter syndrome,23,14.7
oldest daughter syndrome,24,15.1
oldest daughter syndrome,25,15.0
oldest daughter syndrome,26,11.8
oldest daughter syndrome,27,10.4
oldest daughter syndrome,28,16.3
oldest daughter syndrome,29,15.9
oldest daughter syndrome,30,18.7
oldest daughter syndrome,31,20.1
oldest daughter syndrome,32,19.6
oldest daughter syndrome,33,21.6
oldest daughter syndrome,34,21.0
oldest daughter syndrome,35,22.1
oldest daughter syndrome,36,19.7
oldest daughter syndrome,37,21.0
oldest daughter syndrome,38,21.9
oldest daughter syndrome,39,23.1
oldest daughter syndrome,40,20.2
oldest daughter syndrome,41,21.8
oldest daughter syndrome,42,19.6
oldest daughter syndrome,43,19.4
oldest daughter syndrome,44,21.0
oldest daughter syndrome,45,14.2
oldest daughter syndrome,46,15.2
oldest daughter syndrome,47,14.4
oldest daughter syndrome,48,12.2
oldest daughter syndrome,49,15.6
oldest daughter syndrome,50,18.7
oldest daughter syndrome,51,16.5
oldest daughter syndrome,52,17.8
oldest daughter syndrome,53,20.1
oldest daughter syndrome,54,21.1
oldest daughter syndrome,55,18.7
oldest daughter syndrome,56,22.5
oldest daughter syndrome,57,20.5
oldest daughter syndrome,58,19.3
oldest daughter syndrome,59,20.6
oldest daughter syndrome,60,19.4
oldest daughter syndrome,61,21.3
oldest daughter syndrome,62,23.1
oldest daughter syndrome,63,26.1
oldest daughter syndrome,64,28.4
oldest daughter syndrome,65,21.8
oldest daughter syndrome,66,25.7
oldest daughter syndrome,67,22.4
oldest daughter syndrome,68,25.5
oldest daughter syndrome,69,23.8
oldest daughter syndrome,70,19.6
oldest daughter syndrome,71,25.1
oldest daughter syndrome,72,21.2
oldest daughter syndrome,73,20.8
oldest daughter syndrome,74,19.1
oldest daughter syndrome,75,19.6
oldest daughter syndrome,76,21.6
oldest daughter syndrome,77,20.1
oldest daughter syndrome,78,21.1
oldest daughter syndrome,79,21.3
oldest daughter syndrome,80,23.6
oldest daughter syndrome,81,20.3
oldest daughter syndrome,82,18.3
oldest daughter syndrome,83,24.5
oldest daughter syndrome,84,22.2
oldest daughter syndrome,85,26.1
oldest daughter syndrome,86,25.3
oldest daughter syndrome,87,24.9
oldest daughter syndrome,88,26.7
oldest daughter syndrome,89,30.9
oldest daughter syndrome,90,31.8
oldest daughter syndrome,91,27.8
oldest daughter syndrome,92,28.3
oldest daughter syndrome,93,30.5
oldest daughter syndrome,94,26.3
oldest daughter syndrome,95,28.8
oldest daughter syndrome,96,27.7
oldest daughter syndrome,97,28.1
oldest daughter syndrome,98,25.1
oldest daughter syndrome,99,22.9
oldest daughter syndrome,100,21.3
oldest daughter syndrome,101,22.9
oldest daughter syndrome,102,23.8
oldest daughter syndrome,103,23.7
oldest daughter syndrome,104,28.3
oldest daughter syndrome,105,26.3
oldest daughter syndrome,106,21.7
oldest daughter syndrome,107,24.6
oldest daughter syndrome,108,23.2
oldest daughter syndrome,109,23.8
oldest daughter syndrome,110,25.3
oldest daughter syndrome,111,26.9
oldest daughter syndrome,112,25.5
oldest daughter syndrome,113,29.4
oldest daughter syndrome,114,25.3
oldest daughter syndrome,115,28.6
oldest daughter syndrome,116,35.1
oldest daughter syndrome,117,30.5
oldest daughter syndrome,118,33.7
oldest daughter syndrome,119,31.2
oldest daughter syndrome,120,32.6
oldest daughter syndrome,121,31.4
oldest daughter syndrome,122,31.2
oldest daughter syndrome,123,29.7
oldest daughter syndrome,124,32.1
oldest daughter syndrome,125,28.9
oldest daughter syndrome,126,31.8
oldest daughter syndrome,127,32.2
oldest daughter syndrome,128,30.0
oldest daughter syndrome,129,28.1
oldest daughter syndrome,130,29.2
oldest daughter syndrome,131,27.1
oldest daughter syndrome,132,29.5
oldest daughter syndrome,133,23.2
oldest daughter syndrome,134,26.4
oldest daughter syndrome,135,22.8
oldest daughter syndrome,136,24.1
oldest daughter syndrome,137,30.8
oldest daughter syndrome,138,30.3
oldest daughter syndrome,139,27.3
oldest daughter syndrome,140,26.3
oldest daughter syndrome,141,23.9
oldest daughter syndrome,142,30.0
oldest daughter syndrome,143,37.3
oldest daughter syndrome,144,33.7
oldest daughter syndrome,145,32.1
oldest daughter syndrome,146,35.0
oldest daughter syndrome,147,31.0
oldest daughter syndrome,148,34.1
oldest daughter syndrome,149,35.1
oldest daughter syndrome,150,34.7
oldest daughter syndrome,151,36.5
oldest daughter syndrome,152,35.3
oldest daughter syndrome,153,35.6
oldest daughter syndrome,154,32.1
oldest daughter syndrome,155,35.1
oldest daughter syndrome,156,36.2
oldest daughter syndrome,157,29.9
oldest daughter syndrome,158,29.6
oldest daughter syndrome,159,34.0
oldest daughter syndrome,160,30.4
oldest daughter syndrome,161,33.7
oldest daughter syndrome,162,29.5
oldest daughter syndrome,163,33.8
oldest daughter syndrome,164,31.1
oldest daughter syndrome,165,31.7
oldest daughter syndrome,166,35.1
oldest daughter syndrome,167,31.5
oldest daughter syndrome,168,30.9
oldest daughter syndrome,169,32.8
oldest daughter syndrome,170,35.5
oldest daughter syndrome,171,31.9
oldest daughter syndrome,172,37.5
oldest daughter syndrome,173,35.5
oldest daughter syndrome,174,39.8
oldest daughter syndrome,175,32.5
oldest daughter syndrome,176,36.3
oldest daughter syndrome,177,34.5
oldest daughter syndrome,178,36.4
oldest daughter syndrome,179,38.7
money dysmorphia,0,8.9
money dysmorphia,1,8.9
money dysmorphia,2,9.6
money dysmorphia,3,7.3
money dysmorphia,4,10.9
money dysmorphia,5,11.1
money dysmorphia,6,10.9
money dysmorphia,7,11.6
money dysmorphia,8,11.6
money dysmorphia,9,15.6
money dysmorphia,10,11.9
money dysmorphia,11,12.0
money dysmorphia,12,11.6
money dysmorphia,13,11.5
money dysmorphia,14,11.5
money dysmorphia,15,12.6
money dysmorphia,16,14.4
money dysmorphia,17,15.4
money dysmorphia,18,14.8
money dysmorphia,19,13.1
money dysmorphia,20,16.3
money dysmorphia,21,15.8
money dysmorphia,22,13.7
money dysmorphia,23,12.4
money dysmorphia,24,14.4
money dysmorphia,25,13.4
money dysmorphia,26,9.8
money dysmorphia,27,12.3
money dysmorphia,28,12.7
money dysmorphia,29,10.3
money dysmorphia,30,12.4
money dysmorphia,31,9.2
money dysmorphia,32,14.9
money dysmorphia,33,15.0
money dysmorphia,34,12.4
money dysmorphia,35,14.0
money dysmorphia,36,9.0
money dysmorphia,37,12.0
money dysmorphia,38,14.3
money dysmorphia,39,13.3
money dysmorphia,40,17.4
money dysmorphia,41,20.4
money dysmorphia,42,14.5
money dysmorphia,43,15.5
money dysmorphia,44,17.8
money dysmorphia,45,20.7
money dysmorphia,46,15.1
money dysmorphia,47,18.0
money dysmorphia,48,21.0
money dysmorphia,49,13.8
money dysmorphia,50,14.2
money dysmorphia,51,15.6
money dysmorphia,52,15.1
money dysmorphia,53,17.4
money dysmorphia,54,15.9
money dysmorphia,55,11.6
money dysmorphia,56,16.0
money dysmorphia,57,13.7
money dysmorphia,58,17.4
money dysmorphia,59,13.6
money dysmorphia,60,13.8
money dysmorphia,61,16.4
money dysmorphia,62,17.2
money dysmorphia,63,17.0
money dysmorphia,64,13.2
money dysmorphia,65,18.2
money dysmorphia,66,15.6
money dysmorphia,67,18.7
money dysmorphia,68,15.9
money dysmorphia,69,20.1
money dysmorphia,70,18.0
money dysmorphia,71,17.4
money dysmorphia,72,21.6
money dysmorphia,73,20.8
money dysmorphia,74,19.1
money dysmorphia,75,23.2
money dysmorphia,76,19.2
money dysmorphia,77,20.0
money dysmorphia,78,20.1
money dysmorphia,79,18.0
money dysmorphia,80,19.9
money dysmorphia,81,17.5
money dysmorphia,82,17.4
money dysmorphia,83,20.7
money dysmorphia,84,15.7
money dysmorphia,85,12.8
money dysmorphia,86,20.9
money dysmorphia,87,22.8
money dysmorphia,88,17.1
money dysmorphia,89,14.3
money dysmorphia,90,17.9
money dysmorphia,91,18.3
money dysmorphia,92,19.0
money dysmorphia,93,17.7
money dysmorphia,94,21.6
money dysmorphia,95,22.1
money dysmorphia,96,18.5
money dysmorphia,97,23.4
money dysmorphia,98,26.5
money dysmorphia,99,23.1
money dysmorphia,100,22.3
money dysmorphia,101,22.8
money dysmorphia,102,24.4
money dysmorphia,103,19.6
money dysmorphia,104,23.2
money dysmorphia,105,21.9
money dysmorphia,106,26.1
money dysmorphia,107,21.7
money dysmorphia,108,25.1
money dysmorphia,109,19.2
money dysmorphia,110,22.2
money dysmorphia,111,21.4
money dysmorphia,112,18.9
money dysmorphia,113,20.8
money dysmorphia,114,22.9
money dysmorphia,115,19.9
money dysmorphia,116,17.3
money dysmorphia,117,20.9
money dysmorphia,118,19.5
money dysmorphia,119,21.0
money dysmorphia,120,22.0
money dysmorphia,121,19.3
money dysmorphia,122,20.0
money dysmorphia,123,24.8
money dysmorphia,124,23.3
money dysmorphia,125,19.7
money dysmorphia,126,26.8
money dysmorphia,127,26.1
money dysmorphia,128,24.3
money dysmorphia,129,23.3
money dysmorphia,130,27.6
money dysmorphia,131,26.6
money dysmorphia,132,30.5
money dysmorphia,133,26.3
money dysmorphia,134,26.0
money dysmorphia,135,24.5
money dysmorphia,136,26.2
money dysmorphia,137,25.4
money dysmorphia,138,26.4
money dysmorphia,139,22.6
money dysmorphia,140,22.5
money dysmorphia,141,22.3
money dysmorphia,142,24.8
money dysmorphia,143,26.3
money dysmorphia,144,22.6
money dysmorphia,145,22.9
money dysmorphia,146,24.7
money dysmorphia,147,24.0
money dysmorphia,148,26.9
money dysmorphia,149,21.0
money dysmorphia,150,24.4
money dysmorphia,151,25.1
money dysmorphia,152,22.5
money dysmorphia,153,25.7
money dysmorphia,154,26.2
money dysmorphia,155,27.9
money dysmorphia,156,30.8
money dysmorphia,157,28.2
money dysmorphia,158,26.7
money dysmorphia,159,28.6
money dysmorphia,160,30.6
money dysmorphia,161,26.3
money dysmorphia,162,26.2
money dysmorphia,163,28.8
money dysmorphia,164,26.9
money dysmorphia,165,28.3
money dysmorphia,166,26.6
money dysmorphia,167,27.8
money dysmorphia,168,24.1
money dysmorphia,169,26.0
money dysmorphia,170,25.6
money dysmorphia,171,23.7
money dysmorphia,172,23.1
money dysmorphia,173,27.9
money dysmorphia,174,26.2
money dysmorphia,175,25.3
money dysmorphia,176,27.6
money dysmorphia,177,30.6
money dysmorphia,178,24.3
money dysmorphia,179,26.4
bed rotting,0,70.0
bed rotting,1,66.0
bed rotting,2,67.2
bed rotting,3,61.7
bed rotting,4,62.3
bed rotting,5,67.8
bed rotting,6,67.8
bed rotting,7,70.6
bed rotting,8,69.8
bed rotting,9,72.8
bed rotting,10,73.9
bed rotting,11,77.2
bed rotting,12,78.6
bed rotting,13,72.3
bed rotting,14,71.2
bed rotting,15,81.4
bed rotting,16,82.1
bed rotting,17,75.2
bed rotting,18,72.1
bed rotting,19,77.1
bed rotting,20,78.4
bed rotting,21,79.6
bed rotting,22,74.3
bed rotting,23,70.0
bed rotting,24,66.9
bed rotting,25,68.1
bed rotting,26,65.8
bed rotting,27,62.6
bed rotting,28,70.9
bed rotting,29,69.6
bed rotting,30,67.5
bed rotting,31,61.5
bed rotting,32,67.4
bed rotting,33,67.6
bed rotting,34,68.1
bed rotting,35,71.8
bed rotting,36,71.5
bed rotting,37,73.3
bed rotting,38,74.5
bed rotting,39,75.1
bed rotting,40,70.0
bed rotting,41,76.6
bed rotting,42,75.5
bed rotting,43,73.7
bed rotting,44,82.7
bed rotting,45,82.6
bed rotting,46,80.9
bed rotting,47,76.7
bed rotting,48,78.8
bed rotting,49,73.4
bed rotting,50,72.5
bed rotting,51,67.0
bed rotting,52,69.9
bed rotting,53,67.4
bed rotting,54,62.0
bed rotting,55,64.6
bed rotting,56,63.7
bed rotting,57,68.8
bed rotting,58,65.9
bed rotting,59,63.5
bed rotting,60,64.7
bed rotting,61,65.0
bed rotting,62,65.3
bed rotting,63,64.0
bed rotting,64,68.3
bed rotting,65,68.0
bed rotting,66,68.0
bed rotting,67,74.7
bed rotting,68,75.6
bed rotting,69,70.2
bed rotting,70,75.9
bed rotting,71,79.7
bed rotting,72,80.0
bed rotting,73,79.7
bed rotting,74,76.1
bed rotting,75,72.6
bed rotting,76,70.7
bed rotting,77,73.6
bed rotting,78,72.2
bed rotting,79,73.3
bed rotting,80,71.2
bed rotting,81,66.0
bed rotting,82,61.3
bed rotting,83,63.0
bed rotting,84,63.7
bed rotting,85,62.0
bed rotting,86,60.7
bed rotting,87,63.4
bed rotting,88,61.6
bed rotting,89,62.1
bed rotting,90,66.0
bed rotting,91,65.2
bed rotting,92,68.6
bed rotting,93,70.2
bed rotting,94,67.5
bed rotting,95,70.9
bed rotting,96,77.9
bed rotting,97,71.2
bed rotting,98,69.1
bed rotting,99,70.3
bed rotting,100,76.1
bed rotting,101,75.8
bed rotting,102,74.8
bed rotting,103,77.9
bed rotting,104,65.1
bed rotting,105,72.9
bed rotting,106,74.9
bed rotting,107,65.2
bed rotting,108,65.9
bed rotting,109,63.3
bed rotting,110,61.5
bed rotting,111,62.1
bed rotting,112,66.5
bed rotting,113,67.3
bed rotting,114,60.6
bed rotting,115,67.5
bed rotting,116,62.4
bed rotting,117,68.4
bed rotting,118,64.0
bed rotting,119,66.0
bed rotting,120,68.1
bed rotting,121,78.1
bed rotting,122,72.6
bed rotting,123,69.4
bed rotting,124,75.7
bed rotting,125,72.8
bed rotting,126,73.1
bed rotting,127,77.8
bed rotting,128,75.3
bed rotting,129,75.7
bed rotting,130,74.4
bed rotting,131,74.4
bed rotting,132,73.5
bed rotting,133,65.1
bed rotting,134,71.4
bed rotting,135,64.8
bed rotting,136,61.8
bed rotting,137,64.5
bed rotting,138,63.6
bed rotting,139,60.2
bed rotting,140,63.9
bed rotting,141,56.9
bed rotting,142,59.5
bed rotting,143,59.2
bed rotting,144,61.3
bed rotting,145,63.1
bed rotting,146,60.4
bed rotting,147,66.9
bed rotting,148,66.4
bed rotting,149,62.0
bed rotting,150,63.4
bed rotting,151,70.6
bed rotting,152,71.3
bed rotting,153,72.7
bed rotting,154,73.7
bed rotting,155,74.9
bed rotting,156,77.2
bed rotting,157,70.7
bed rotting,158,70.0
bed rotting,159,69.3
bed rotting,160,72.3
bed rotting,161,73.8
bed rotting,162,67.2
bed rotting,163,59.4
bed rotting,164,60.2
bed rotting,165,61.3
bed rotting,166,60.8
bed rotting,167,60.2
bed rotting,168,60.7
bed rotting,169,59.1
bed rotting,170,63.1
bed rotting,171,58.1
bed rotting,172,58.0
bed rotting,173,62.9
bed rotting,174,58.0
bed rotting,175,65.1
bed rotting,176,65.7
bed rotting,177,66.4
bed rotting,178,73.2
bed rotting,179,68.0
brain rot,0,36.2
brain rot,1,34.2
brain rot,2,38.1
brain rot,3,35.5
brain rot,4,36.5
brain rot,5,39.3
brain rot,6,39.4
brain rot,7,36.0
brain rot,8,39.4
brain rot,9,39.1
brain rot,10,39.0
brain rot,11,36.0
brain rot,12,37.3
brain rot,13,28.4
brain rot,14,31.7
brain rot,15,29.9
brain rot,16,32.0
brain rot,17,30.1
brain rot,18,31.2
brain rot,19,36.6
brain rot,20,31.9
brain rot,21,34.0
brain rot,22,33.2
brain rot,23,34.8
brain rot,24,35.6
brain rot,25,37.7
brain rot,26,40.5
brain rot,27,42.6
brain rot,28,40.0
brain rot,29,41.4
brain rot,30,37.6
brain rot,31,40.5
brain rot,32,43.2
brain rot,33,42.9
brain rot,34,41.0
brain rot,35,42.3
brain rot,36,40.7
brain rot,37,41.8
brain rot,38,38.7
brain rot,39,36.3
brain rot,40,37.2
brain rot,41,28.3
brain rot,42,36.0
brain rot,43,25.4
brain rot,44,29.9
brain rot,45,35.2
brain rot,46,35.3
brain rot,47,31.5
brain rot,48,33.1
brain rot,49,38.9
brain rot,50,35.1
brain rot,51,42.8
brain rot,52,38.1
brain rot,53,40.1
brain rot,54,44.1
brain rot,55,41.3
brain rot,56,39.3
brain rot,57,42.2
brain rot,58,42.9
brain rot,59,39.9
brain rot,60,42.7
brain rot,61,41.4
brain rot,62,45.3
brain rot,63,42.7
brain rot,64,41.3
brain rot,65,41.0
brain rot,66,41.1
brain rot,67,41.2
brain rot,68,36.4
brain rot,69,35.6
brain rot,70,40.3
brain rot,71,36.0
brain rot,72,33.2
brain rot,73,37.7
brain rot,74,37.8
brain rot,75,33.1
brain rot,76,38.0
brain rot,77,39.9
brain rot,78,39.7
brain rot,79,41.3
brain rot,80,37.1
brain rot,81,42.5
brain rot,82,41.8
brain rot,83,42.3
brain rot,84,46.5
brain rot,85,48.7
brain rot,86,50.0
brain rot,87,49.1
brain rot,88,45.6
brain rot,89,46.7
brain rot,90,47.5
brain rot,91,45.4
brain rot,92,44.8
brain rot,93,45.9
brain rot,94,42.9
brain rot,95,40.4
brain rot,96,40.4
brain rot,97,42.3
brain rot,98,40.1
brain rot,99,40.4
brain rot,100,40.9
brain rot,101,38.2
brain rot,102,41.1
brain rot,103,40.4
brain rot,104,36.8
brain rot,105,44.2
brain rot,106,40.1
brain rot,107,38.1
brain rot,108,40.5
brain rot,109,41.6
brain rot,110,45.2
brain rot,111,45.3
brain rot,112,46.0
brain rot,113,49.0
brain rot,114,48.8
brain rot,115,49.1
brain rot,116,49.5
brain rot,117,49.9
brain rot,118,42.8
brain rot,119,46.7
brain rot,120,41.6
brain rot,121,46.4
brain rot,122,45.5
brain rot,123,47.3
brain rot,124,46.9
brain rot,125,43.7
brain rot,126,41.3
brain rot,127,43.3
brain rot,128,40.5
brain rot,129,41.6
brain rot,130,44.2
brain rot,131,40.6
brain rot,132,44.4
brain rot,133,44.8
brain rot,134,41.5
brain rot,135,47.2
brain rot,136,47.4
brain rot,137,46.9
brain rot,138,45.7
brain rot,139,46.4
brain rot,140,48.0
brain rot,141,51.4
brain rot,142,48.1
brain rot,143,51.9
brain rot,144,47.8
brain rot,145,50.4
brain rot,146,50.9
brain rot,147,56.2
brain rot,148,46.1
brain rot,149,52.5
brain rot,150,48.4
brain rot,151,48.3
brain rot,152,46.8
brain rot,153,46.8
brain rot,154,44.7
brain rot,155,48.3
brain rot,156,43.2
brain rot,157,47.0
brain rot,158,42.6
brain rot,159,44.3
brain rot,160,42.3
brain rot,161,46.7
brain rot,162,50.0
brain rot,163,47.1
brain rot,164,47.7
brain rot,165,46.4
brain rot,166,49.6
brain rot,167,47.1
brain rot,168,49.6
brain rot,169,53.1
brain rot,170,56.3
brain rot,171,60.4
brain rot,172,52.0
brain rot,173,57.0
brain rot,174,53.7
brain rot,175,52.3
brain rot,176,53.1
brain rot,177,51.5
brain rot,178,50.9
brain rot,179,48.8
quiet quitting,0,46.6
quiet quitting,1,53.9
quiet quitting,2,51.6
quiet quitting,3,50.9
quiet quitting,4,52.8
quiet quitting,5,54.9
quiet quitting,6,52.6
quiet quitting,7,49.4
quiet quitting,8,54.2
quiet quitting,9,54.2
quiet quitting,10,49.9
quiet quitting,11,50.1
quiet quitting,12,49.8
quiet quitting,13,48.3
quiet quitting,14,45.8
quiet quitting,15,44.9
quiet quitting,16,44.0
quiet quitting,17,38.8
quiet quitting,18,44.0
quiet quitting,19,38.0
quiet quitting,20,40.0
quiet quitting,21,46.8
quiet quitting,22,46.2
quiet quitting,23,49.0
quiet quitting,24,44.8
quiet quitting,25,43.2
quiet quitting,26,47.0
quiet quitting,27,49.0
quiet quitting,28,49.8
quiet quitting,29,53.7
quiet quitting,30,49.7
quiet quitting,31,52.1
quiet quitting,32,48.1
quiet quitting,33,52.2
quiet quitting,34,50.4
quiet quitting,35,47.5
quiet quitting,36,48.1
quiet quitting,37,47.3
quiet quitting,38,45.9
quiet quitting,39,50.8
quiet quitting,40,44.1
quiet quitting,41,42.5
quiet quitting,42,36.0
quiet quitting,43,38.7
quiet quitting,44,40.0
quiet quitting,45,38.3
quiet quitting,46,44.4
quiet quitting,47,39.8
quiet quitting,48,44.5
quiet quitting,49,41.4
