comment_id,post_id,topic,comment_text,intent,sentiment_label,likes_on_comment,posted_on,clean,relatable_tag,relatable_probability,lexicon_score
C00043_P001,P001,Social Anxiety,ok but so me ong,validation,relatable,15,2025-06-01,ok but so me ong,Relatable,0.9576,0.34
C00044_P001,P001,Social Anxiety,i didn't consent to being exposed lmao,validation,relatable,7,2025-06-01,i didn't consent to being exposed lmao,Relatable,0.978,0.0
C00045_P001,P001,Social Anxiety,fr my biography ong,validation,relatable,8,2025-06-01,fr my biography ong,Relatable,0.9782,0.0
C00046_P001,P001,Social Anxiety,this is my 13th reason (affectionate),ambiguous,neutral,6,2025-06-01,this is my th reason affectionate,Neutral,0.4951,0.0
C00047_P001,P001,Social Anxiety,follow for follow? 🔥,generic,neutral,9,2025-06-01,follow for follow,Neutral,0.0253,-0.34
C00048_P001,P001,Social Anxiety,sir this is my diary page fr,validation,relatable,10,2025-06-01,sir this is my diary page fr,Relatable,0.9593,-0.34
C00049_P001,P001,Social Anxiety,no because too accurate anna,validation,relatable,9,2025-06-01,no because too accurate anna,Relatable,0.9543,0.34
C00050_P001,P001,Social Anxiety,genuinely how do you know my life lmao,validation,relatable,14,2025-06-01,genuinely how do you know my life lmao,Relatable,0.9376,0.0
C00051_P001,P001,Social Anxiety,nice post,generic,neutral,10,2025-06-01,nice post,Neutral,0.0661,-0.34
C00052_P001,P001,Social Anxiety,underrated page fr,generic,neutral,9,2025-06-01,underrated page fr,Neutral,0.0312,-0.34
C00053_P001,P001,Social Anxiety,fr my brain on a normal tuesday,validation,relatable,11,2025-06-01,fr my brain on a normal tuesday,Relatable,0.9715,0.0
C00054_P001,P001,Social Anxiety,wait my whole life lol,validation,relatable,8,2025-06-01,wait my whole life lol,Relatable,0.9813,0.0
C00055_P001,P001,Social Anxiety,haha true,generic,neutral,13,2025-06-01,haha true,Neutral,0.0086,0.34
C00056_P001,P001,Social Anxiety,haha true macha,generic,neutral,7,2025-06-01,haha true macha,Neutral,0.0077,0.34
C00057_P001,P001,Social Anxiety,that hit close to home ngl,validation,relatable,18,2025-06-01,that hit close to home ngl,Relatable,0.9508,0.34
C00058_P001,P001,Social Anxiety,why does this feel personal fr fr,validation,relatable,13,2025-06-01,why does this feel personal fr fr,Relatable,0.9668,0.0
C00059_P001,P001,Social Anxiety,not to be dramatic but this post understood me better than my last three conversations ngl,validation,relatable,8,2025-06-01,not to be dramatic but this post understood me better than my last three conversations ngl,Relatable,0.9583,0.68
C00060_P001,P001,Social Anxiety,congratulations you discovered being human,sarcasm,neutral,4,2025-06-01,congratulations you discovered being human,Neutral,0.0685,0.0
C00061_P001,P001,Social Anxiety,saved this for the next time it happens yaar,validation,relatable,13,2025-06-01,saved this for the next time it happens yaar,Relatable,0.9538,0.0
C00062_P001,P001,Social Anxiety,i've never been so seen,validation,relatable,12,2025-06-01,i've never been so seen,Relatable,0.9208,0.34
C00063_P001,P001,Social Anxiety,free followers in bio sis,generic,neutral,13,2025-06-01,free followers in bio sis,Neutral,0.0239,-0.68
C00064_P001,P001,Social Anxiety,I've never been so seen,validation,relatable,13,2025-06-01,i've never been so seen,Relatable,0.9208,0.34
C00065_P001,P001,Social Anxiety,ok this one hurt,ambiguous,relatable,7,2025-06-01,ok this one hurt,Neutral,0.4574,0.34
C00066_P001,P001,Social Anxiety,posted at the right time btw,generic,neutral,10,2025-06-01,posted at the right time btw,Neutral,0.0322,0.0
C00067_P001,P001,Social Anxiety,dm for promotions :),generic,neutral,7,2025-06-01,dm for promotions,Neutral,0.0208,-0.34
C00068_P001,P001,Social Anxiety,not me my everyday routine istg,validation,relatable,14,2025-06-01,not me my everyday routine istg,Relatable,0.9821,0.34
C00069_P001,P001,Social Anxiety,🔥🔥 btw,generic,neutral,12,2025-06-01,btw,Neutral,0.0307,0.0
C00070_P001,P001,Social Anxiety,dm for promotions 🔥,generic,neutral,9,2025-06-01,dm for promotions,Neutral,0.0208,-0.34
C00071_P001,P001,Social Anxiety,the honesty is refreshing,ambiguous,relatable,6,2025-06-01,the honesty is refreshing,Neutral,0.4722,0.0
C00072_P001,P001,Social Anxiety,why is this too accurate lmaoo,validation,relatable,9,2025-06-01,why is this too accurate lmaoo,Relatable,0.9687,0.34
C00073_P001,P001,Social Anxiety,the timing of this post is suspicious lol,validation,relatable,9,2025-06-01,the timing of this post is suspicious lol,Relatable,0.9555,0.0
C00074_P001,P001,Social Anxiety,not to be dramatic but this post understood me better than my last three conversations no cap,validation,relatable,13,2025-06-01,not to be dramatic but this post understood me better than my last three conversations no cap,Relatable,0.9656,0.68
C00075_P001,P001,Social Anxiety,reading this at 3am was a mistake 🥲,validation,relatable,12,2025-06-01,reading this at am was a mistake,Relatable,0.9542,0.0
C00076_P001,P001,Social Anxiety,that's too real lol,validation,relatable,14,2025-06-01,that's too real lol,Relatable,0.8103,0.34
C00077_P001,P001,Social Anxiety,not to be dramatic but this post understood me better than my last three conversations 💀,validation,relatable,10,2025-06-01,not to be dramatic but this post understood me better than my last three conversations,Relatable,0.9465,0.68
C00078_P001,P001,Social Anxiety,wow okay then,ambiguous,neutral,7,2025-06-01,wow okay then,Neutral,0.4985,0.0
C00079_P001,P001,Social Anxiety,the algorithm finally did something right sis,generic,neutral,12,2025-06-01,the algorithm finally did something right sis,Neutral,0.0362,0.0
C00080_P001,P001,Social Anxiety,i agree !!,generic,neutral,13,2025-06-01,i agree !!,Neutral,0.0316,0.4
C00081_P001,P001,Social Anxiety,this felt personal,ambiguous,relatable,11,2025-06-01,this felt personal,Relatable,0.7053,0.34
C00082_P001,P001,Social Anxiety,keep it up 👍,generic,neutral,13,2025-06-01,keep it up,Neutral,0.0382,0.0
C00083_P001,P001,Social Anxiety,wait me in one post fr,validation,relatable,11,2025-06-01,wait me in one post fr,Relatable,0.9705,0.34
C00084_P001,P001,Social Anxiety,that's the story of my life,validation,relatable,11,2025-06-01,that's the story of my life,Relatable,0.9813,0.0
C00085_P001,P001,Social Anxiety,saved this for the next time it happens istg,validation,relatable,10,2025-06-01,saved this for the next time it happens istg,Relatable,0.9508,0.0
C00086_P001,P001,Social Anxiety,haha !!,generic,neutral,5,2025-06-01,haha !!,Neutral,0.0245,0.4
C00087_P001,P001,Social Anxiety,excuse me my biography ong,validation,relatable,7,2025-06-01,excuse me my biography ong,Relatable,0.9856,0.34
C00088_P001,P001,Social Anxiety,"hold on, my biography",validation,relatable,6,2025-06-01,hold on my biography,Relatable,0.9752,0.0
C00089_P001,P001,Social Anxiety,excuse me personal at this point 🥲🥲,validation,relatable,12,2025-06-01,excuse me personal at this point,Relatable,0.9767,0.34
C00090_P001,P001,Social Anxiety,I agree,generic,neutral,9,2025-06-01,i agree,Neutral,0.0316,0.0
C00091_P001,P001,Social Anxiety,no beacuse so me lol,validation,relatable,11,2025-06-01,no beacuse so me lol,Relatable,0.9678,0.34
C00092_P001,P001,Social Anxiety,the way my everyday routine ong,validation,relatable,15,2025-06-01,the way my everyday routine ong,Relatable,0.981,0.0
C00093_P001,P001,Social Anxiety,"came here to laugh, stayed to confront myself ?!",validation,relatable,9,2025-06-01,came here to laugh stayed to confront myself !,Relatable,0.9669,0.54
C00094_P001,P001,Social Anxiety,deep. very deep.,sarcasm,neutral,10,2025-06-01,deep very deep,Neutral,0.0437,0.0
C00095_P001,P001,Social Anxiety,your page will blow up sis,generic,neutral,13,2025-06-01,your page will blow up sis,Neutral,0.0138,-0.34
C00096_P001,P001,Social Anxiety,watched this five times already...,validation,relatable,9,2025-06-01,watched this five times already,Relatable,0.9518,0.0
C00097_P001,P001,Social Anxiety,background music name? :),generic,neutral,7,2025-06-01,background music name,Neutral,0.0226,-0.34
C00098_P001,P001,Social Anxiety,wait screenshot of my head 💀,validation,relatable,9,2025-06-01,wait screenshot of my head,Relatable,0.9674,0.0
C00099_P001,P001,Social Anxiety,true that ++,generic,neutral,8,2025-06-01,true that,Neutral,0.0249,0.34
C00100_P001,P001,Social Anxiety,personally attacked,ambiguous,neutral,15,2025-06-01,personally attacked,Neutral,0.238,0.34
C00101_P001,P001,Social Anxiety,when is part 2? bro,generic,neutral,13,2025-06-01,when is part bro,Neutral,0.018,-0.34
C00102_P001,P001,Social Anxiety,who allowed you to expose me like this 🥲🥲,validation,relatable,12,2025-06-01,who allowed you to expose me like this,Relatable,0.951,0.34
C00103_P001,P001,Social Anxiety,the way I did this exact thing this morning and now I'm being called out publicly 😅,validation,relatable,14,2025-06-01,the way i did this exact thing this morning and now i'm being called out publicly,Relatable,0.905,0.34
C00104_P001,P001,Social Anxiety,literally so me pls,validation,relatable,13,2025-06-01,literally so me pls,Relatable,0.9638,0.68
C00105_P001,P001,Social Anxiety,sir this is my diary page no cap,validation,relatable,8,2025-06-01,sir this is my diary page no cap,Relatable,0.9709,-0.34
C00106_P001,P001,Social Anxiety,keep it up 🔥,generic,neutral,15,2025-06-01,keep it up,Neutral,0.0382,0.0
C00107_P001,P001,Social Anxiety,this speaks for my whole generation yaar,validation,relatable,11,2025-06-01,this speaks for my whole generation yaar,Relatable,0.9737,0.0
C00108_P001,P001,Social Anxiety,posted at the right time bro,generic,neutral,13,2025-06-01,posted at the right time bro,Neutral,0.0396,0.0
C00109_P001,P001,Social Anxiety,bro it me 💀,validation,relatable,15,2025-06-01,bro it me,Relatable,0.8933,0.34
C00110_P001,P001,Social Anxiety,exactly this,ambiguous,relatable,9,2025-06-01,exactly this,Relatable,0.5504,0.34
C00111_P001,P001,Social Anxiety,DESERVES WAY MORE LIKES BTW,generic,neutral,7,2025-06-01,deserves way more likes btw,Neutral,0.0241,0.0
C00112_P001,P001,Social Anxiety,that's my whole life,validation,relatable,9,2025-06-01,that's my whole life,Relatable,0.9682,0.0
C00113_P001,P001,Social Anxiety,the caption though,ambiguous,neutral,10,2025-06-01,the caption though,Relatable,0.5925,0.0
C00114_P001,P001,Social Anxiety,I came to instagram to turn my brain off and instead you described it perfectly no cap,validation,relatable,13,2025-06-01,i came to instagram to turn my brain off and instead you described it perfectly no cap,Relatable,0.9538,0.0
C00115_P001,P001,Social Anxiety,no because my whole life 😭😭,validation,relatable,14,2025-06-01,no because my whole life,Relatable,0.9748,0.0
C00116_P001,P001,Social Anxiety,wait a documentary about me 🥲🥲,validation,relatable,4,2025-06-01,wait a documentary about me,Relatable,0.9643,0.34
C00117_P001,P001,Social Anxiety,I live this every single day lmaoo,validation,relatable,11,2025-06-01,i live this every single day lmaoo,Relatable,0.9433,0.0
C00118_P001,P001,Social Anxiety,lol ok macha,generic,neutral,10,2025-06-01,lol ok macha,Neutral,0.0371,0.0
C00119_P001,P001,Social Anxiety,ok but my biography,validation,relatable,8,2025-06-01,ok but my biography,Relatable,0.9647,0.0
C00000_P002,P002,Dating & Situationships,reading this at 3am was a mistake...,validation,relatable,10,2025-06-02,reading this at am was a mistake,Relatable,0.9542,0.0
C00001_P002,P002,Dating & Situationships,not me personal at this point 😭😭,validation,relatable,17,2025-06-02,not me personal at this point,Relatable,0.9826,0.34
C00002_P002,P002,Dating & Situationships,reading this at 3am was a mistake lmaoo,validation,relatable,16,2025-06-02,reading this at am was a mistake lmaoo,Relatable,0.9686,0.0
C00003_P002,P002,Dating & Situationships,literally screenshot of my haed ong,validation,relatable,9,2025-06-02,literally screenshot of my haed ong,Relatable,0.9815,0.34
C00004_P002,P002,Dating & Situationships,smooth transitions,generic,neutral,11,2025-06-02,smooth transitions,Neutral,0.0534,0.0
C00005_P002,P002,Dating & Situationships,great content macha,generic,neutral,9,2025-06-02,great content macha,Neutral,0.02,-0.34
C00006_P002,P002,Dating & Situationships,🔥🔥 !!,generic,neutral,9,2025-06-02,!!,Neutral,0.2792,0.4
C00007_P002,P002,Dating & Situationships,I live this every single day anna,validation,relatable,6,2025-06-02,i live this every single day anna,Relatable,0.956,0.0
C00008_P002,P002,Dating & Situationships,he said 'we'll see' and I said ok like a fool,personal_story,relatable,12,2025-06-02,he said 'we'll see' and i said ok like a fool,Relatable,0.8539,0.0
C00009_P002,P002,Dating & Situationships,first comment bro,generic,neutral,11,2025-06-02,first comment bro,Neutral,0.0249,0.0
C00010_P002,P002,Dating & Situationships,TRUE :),generic,neutral,6,2025-06-02,true,Neutral,0.0084,0.34
C00011_P002,P002,Dating & Situationships,watched this five times already pls,validation,relatable,9,2025-06-02,watched this five times already pls,Relatable,0.9671,0.0
C00012_P002,P002,Dating & Situationships,mine left me on delivered for 3 days 😭,personal_story,relatable,15,2025-06-02,mine left me on delivered for days,Relatable,0.9144,0.34
C00013_P002,P002,Dating & Situationships,"found this page today, already binged everything macha",generic,neutral,9,2025-06-02,found this page today already binged everything macha,Neutral,0.016,-0.34
C00014_P002,P002,Dating & Situationships,I can't,ambiguous,relatable,8,2025-06-02,i can't,Neutral,0.4107,0.0
C00015_P002,P002,Dating & Situationships,I paused. sat down. processed. same. lol,validation,relatable,11,2025-06-02,i paused sat down processed same lol,Relatable,0.9424,0.34
C00016_P002,P002,Dating & Situationships,nah too real ong,validation,relatable,18,2025-06-02,nah too real ong,Relatable,0.9089,0.34
C00017_P002,P002,Dating & Situationships,I relate to this too much pls,validation,relatable,9,2025-06-02,i relate to this too much pls,Relatable,0.9599,0.0
C00018_P002,P002,Dating & Situationships,no yeah,ambiguous,relatable,12,2025-06-02,no yeah,Neutral,0.2512,0.0
C00019_P002,P002,Dating & Situationships,I didn't consent to being exposed!!,validation,relatable,13,2025-06-02,i didn't consent to being exposed!!,Relatable,0.9666,0.4
C00020_P002,P002,Dating & Situationships,I live this every single day fr,validation,relatable,9,2025-06-02,i live this every single day fr,Relatable,0.9485,0.0
C00021_P002,P002,Dating & Situationships,do a collab with us ++,generic,neutral,13,2025-06-02,do a collab with us,Neutral,0.0347,-0.34
C00022_P002,P002,Dating & Situationships,"why does this have no likes, underrated",question,neutral,10,2025-06-02,why does this have no likes underrated,Neutral,0.0679,0.0
C00023_P002,P002,Dating & Situationships,every frame is my biography ngl,validation,relatable,12,2025-06-02,every frame is my biography ngl,Relatable,0.9746,0.0
C00024_P002,P002,Dating & Situationships,reading this at 3am was a mistake ngl,validation,relatable,12,2025-06-02,reading this at am was a mistake ngl,Relatable,0.9688,0.0
C00025_P002,P002,Dating & Situationships,sir this is my diary page ngl,validation,relatable,11,2025-06-02,sir this is my diary page ngl,Relatable,0.9635,-0.34
C00026_P002,P002,Dating & Situationships,check my page !!,generic,neutral,7,2025-06-02,check my page !!,Neutral,0.0322,-0.28
C00000_P003,P003,Money Struggles,check my page,generic,neutral,12,2025-06-04,check my page,Neutral,0.0322,-0.68
C00001_P003,P003,Money Struggles,genuinely how do you know my life 😭,validation,relatable,8,2025-06-04,genuinely how do you know my life,Relatable,0.9197,0.0
C00002_P003,P003,Money Struggles,your page will blow up bro,generic,neutral,12,2025-06-04,your page will blow up bro,Neutral,0.015,-0.34
C00003_P003,P003,Money Struggles,i paused. sat down. processed. same. 😭,validation,relatable,10,2025-06-04,i paused sat down processed same,Relatable,0.9534,0.34
C00004_P003,P003,Money Struggles,ok but me in one post 💀,validation,relatable,15,2025-06-04,ok but me in one post,Relatable,0.9697,0.34
C00005_P003,P003,Money Struggles,FR SO ME,validation,relatable,8,2025-06-04,fr so me,Relatable,0.9733,0.34
C00006_P003,P003,Money Struggles,wait my biography 😅,validation,relatable,9,2025-06-04,wait my biography,Relatable,0.9727,0.0
C00007_P003,P003,Money Struggles,this speaks for my whole generation bhai,validation,relatable,7,2025-06-04,this speaks for my whole generation bhai,Relatable,0.9616,0.0
C00008_P003,P003,Money Struggles,that's my last three yeaaars in one video...,validation,relatable,15,2025-06-04,that's my last three yeaars in one video,Relatable,0.9518,0.0
C00009_P003,P003,Money Struggles,no literally,ambiguous,neutral,14,2025-06-04,no literally,Neutral,0.3675,0.34
C00010_P003,P003,Money Struggles,watched this five times already no cap,validation,relatable,9,2025-06-04,watched this five times already no cap,Relatable,0.965,0.0
C00011_P003,P003,Money Struggles,fr so me...,validation,relatable,12,2025-06-04,fr so me,Relatable,0.9733,0.34
C00012_P003,P003,Money Struggles,"found this page today, already binged everything 🔥",generic,neutral,13,2025-06-04,found this page today already binged everything,Neutral,0.0228,-0.34
C00013_P003,P003,Money Struggles,haha macha,generic,neutral,11,2025-06-04,haha macha,Neutral,0.0275,0.0
C00014_P003,P003,Money Struggles,follow for follow? macha,generic,neutral,11,2025-06-04,follow for follow macha,Neutral,0.0186,-0.34
C00000_P004,P004,College & Hostel Life,the edit quality is insane :),generic,neutral,12,2025-06-05,the edit quality is insane,Neutral,0.0239,-0.34
C00001_P004,P004,College & Hostel Life,this speaks for my whole generation lmaoo,validation,relatable,4,2025-06-05,this speaks for my whole generation lmaoo,Relatable,0.9634,0.0
C00002_P004,P004,College & Hostel Life,I'm in this post and I don't like it 🥲🥲,validation,relatable,7,2025-06-05,i'm in this post and i don't like it,Relatable,0.9555,0.0
C00003_P004,P004,College & Hostel Life,true :),generic,neutral,12,2025-06-05,true,Neutral,0.0084,0.34
C00004_P004,P004,College & Hostel Life,why does this feel personal fr fr,validation,relatable,4,2025-06-05,why does this feel personal fr fr,Relatable,0.9668,0.0
C00005_P004,P004,College & Hostel Life,the edit quality is insane,generic,neutral,8,2025-06-05,the edit quality is insane,Neutral,0.0239,-0.34
C00006_P004,P004,College & Hostel Life,free followers iiin bio btw,generic,neutral,11,2025-06-05,free followers iin bio btw,Neutral,0.0254,-0.68
C00007_P004,P004,College & Hostel Life,song name please? 👍,generic,neutral,12,2025-06-05,song name please,Neutral,0.019,-0.34
C00008_P004,P004,College & Hostel Life,not me the story of my life ong,validation,relatable,12,2025-06-05,not me the story of my life ong,Relatable,0.9919,0.34
C00009_P004,P004,College & Hostel Life,underrated page fr sis,generic,neutral,9,2025-06-05,underrated page fr sis,Neutral,0.0216,-0.34
C00010_P004,P004,College & Hostel Life,is this based on real events?,question,neutral,12,2025-06-05,is this based on real events,Neutral,0.0778,0.34
C00011_P004,P004,College & Hostel Life,when is part 2?,generic,neutral,9,2025-06-05,when is part,Neutral,0.0285,-0.34
C00012_P004,P004,College & Hostel Life,wow okay,ambiguous,neutral,9,2025-06-05,wow okay,Neutral,0.408,0.0
C00013_P004,P004,College & Hostel Life,background music name?,generic,neutral,13,2025-06-05,background music name,Neutral,0.0226,-0.34
C00014_P004,P004,College & Hostel Life,why does this feel personal 😭,validation,relatable,12,2025-06-05,why does this feel personal,Relatable,0.9388,0.0
C00015_P004,P004,College & Hostel Life,great content,generic,neutral,14,2025-06-05,great content,Neutral,0.0295,-0.34
C00016_P004,P004,College & Hostel Life,I felt that 🥲🥲,validation,relatable,12,2025-06-05,i felt that,Relatable,0.935,0.34
C00017_P004,P004,College & Hostel Life,"everyone overthinks, nothing special",sarcasm,neutral,11,2025-06-05,everyone overthinks nothing special,Neutral,0.0555,0.0
C00018_P004,P004,College & Hostel Life,THIS IS SO ME LMAO,validation,relatable,7,2025-06-05,this is so me lmao,Relatable,0.9794,0.34
C00019_P004,P004,College & Hostel Life,this is my whole life fr fr,validation,relatable,10,2025-06-05,this is my whole life fr fr,Relatable,0.9927,0.0
C00020_P004,P004,College & Hostel Life,NO BECAUSE MY WHOLE LIFE!!,validation,relatable,9,2025-06-05,no because my whole life!!,Relatable,0.9748,0.4
C00021_P004,P004,College & Hostel Life,hmm,ambiguous,neutral,9,2025-06-05,hmm,Neutral,0.1748,0.0
C00022_P004,P004,College & Hostel Life,any tips for the 2am version of this?,question,neutral,17,2025-06-05,any tips for the am version of this,Neutral,0.104,-0.34
C00023_P004,P004,College & Hostel Life,can we get a version with english subtitles?,question,neutral,10,2025-06-05,can we get a version with english subtitles,Neutral,0.0604,0.0
C00024_P004,P004,College & Hostel Life,instagram therapists at it again,sarcasm,neutral,15,2025-06-05,instagram therapists at it again,Neutral,0.0944,0.0
C00025_P004,P004,College & Hostel Life,yeah.,ambiguous,relatable,12,2025-06-05,yeah,Neutral,0.3148,0.0
C00026_P004,P004,College & Hostel Life,this is the story of my life da,validation,relatable,13,2025-06-05,this is the story of my life da,Relatable,0.9876,0.0
C00027_P004,P004,College & Hostel Life,which app is this? ++,generic,neutral,11,2025-06-05,which app is this,Neutral,0.025,-0.34
C00028_P004,P004,College & Hostel Life,what camera do you use?,question,neutral,11,2025-06-05,what camera do you use,Neutral,0.0565,0.0
C00029_P004,P004,College & Hostel Life,nah me in one post fr,validation,relatable,11,2025-06-05,nah me in one post fr,Relatable,0.97,0.34
C00030_P004,P004,College & Hostel Life,free followers in bio sis,generic,neutral,8,2025-06-05,free followers in bio sis,Neutral,0.0239,-0.68
C00031_P004,P004,College & Hostel Life,"why doees this have no likes, underrated",question,neutral,12,2025-06-05,why doees this have no likes underrated,Neutral,0.0422,0.0
C00032_P004,P004,College & Hostel Life,8am classes should be illegal,personal_story,relatable,9,2025-06-05,am classes should be illegal,Relatable,0.884,0.0
C00033_P004,P004,College & Hostel Life,posted at the right time macha,generic,neutral,5,2025-06-05,posted at the right time macha,Neutral,0.0284,0.0
C00034_P004,P004,College & Hostel Life,so true ++,generic,neutral,12,2025-06-05,so true,Neutral,0.0315,0.34
C00035_P004,P004,College & Hostel Life,bro my whole life...,validation,relatable,8,2025-06-05,bro my whole life,Relatable,0.9488,0.0
C00036_P004,P004,College & Hostel Life,that hit close to home 🥲🥲,validation,relatable,16,2025-06-05,that hit close to home,Relatable,0.9468,0.34
C00037_P004,P004,College & Hostel Life,our mess soup is just hot water with regret,personal_story,relatable,16,2025-06-05,our mess soup is just hot water with regret,Relatable,0.8672,0.0
C00038_P004,P004,College & Hostel Life,dm for promotions bro,generic,neutral,15,2025-06-05,dm for promotions bro,Neutral,0.02,-0.34
