post_id,handle,topic,title,format,hook_type,duration_s,caption_style,posted_on,day,posting_hour,impressions,reach,likes,comments,shares,saves,retention_rate,profile_visits,followers_gained,breakout
P031,@relatable.struggles,Social Anxiety,Phone anxiety: drafting the text for 40 minutes,Reel,Text Hook,27,Question,2025-07-12,41,9,2226,1935,94,15,38,25,0.813,21,19,0
P032,@relatable.struggles,Dating & Situationships,Being the therapist friend and the problem,Carousel,Visual Hook,,Storytelling,2025-07-13,42,11,1410,978,43,18,6,15,,13,4,0
P033,@relatable.struggles,Money Struggles,Rich until the UPI fails publicly,Static Post,Text Hook,,Listicle,2025-07-15,44,18,1078,807,26,6,4,8,,9,2,0
P034,@relatable.struggles,College & Hostel Life,'Tomorrow I start' - a lie told since 2019,Carousel,Text Hook,,Question,2025-07-16,45,14,6097,5170,268,24,39,74,,152,25,0
P035,@relatable.struggles,Family Pressure,Hiding marksheets like state secrets,Reel,Text Hook,21,Storytelling,2025-07-18,47,13,67671,57329,2987,120,543,777,0.65,1137,363,1
P036,@relatable.struggles,Self-Image & Comparison,My skin has more drama than my life,Carousel,Visual Hook,,Listicle,2025-07-19,48,11,7134,6007,279,66,38,171,,114,98,1
P037,@relatable.struggles,Social Anxiety,Small talk is my final boss,Reel,Visual Hook,52,Storytelling,2025-07-20,49,12,18692,14884,919,120,206,268,0.467,397,143,0
P038,@relatable.struggles,Dating & Situationships,Soft launching a person like a startup,Reel,Text Hook,20,Listicle,2025-07-22,51,14,6940,5574,320,63,33,80,0.701,117,27,0
P039,@relatable.struggles,Money Struggles,The math of 'save more' with nothing left to save,Carousel,Text Hook,,Question,2025-07-23,52,10,1762,1524,77,18,24,29,,26,18,0
P040,@relatable.struggles,College & Hostel Life,Mess food roulette: today's mystery curry,Reel,Visual Hook,16,Storytelling,2025-07-24,53,10,9090,6955,422,66,40,78,0.685,186,36,0
P041,@relatable.struggles,Family Pressure,"Being the family's free tech support, forever",Reel,Visual Hook,17,Listicle,2025-07-26,55,18,10044,8411,509,54,78,188,0.646,232,47,0
P042,@relatable.struggles,Self-Image & Comparison,"Unfollowing people to feel better, it never works",Reel,Text Hook,18,Question,2025-07-27,56,10,6272,4405,206,30,55,54,0.702,84,25,0
P043,@relatable.struggles,Social Anxiety,A survival guide for people who rehearse orders in their head,Carousel,Text Hook,,Listicle,2025-07-29,58,14,2558,1865,88,27,18,67,,44,17,0
P044,@relatable.struggles,Dating & Situationships,Left on read by someone who posts stories hourly,Reel,Visual Hook,24,Question,2025-07-30,59,14,60113,48664,2955,120,663,572,0.706,945,379,1
P045,@relatable.struggles,Money Struggles,"Adding to cart as self-care, never checking out",Reel,Text Hook,23,Storytelling,2025-07-31,60,21,206667,174270,9195,120,1779,2698,0.774,5149,1132,1
P046,@relatable.struggles,College & Hostel Life,"Group project: doing everything, sharing nothing",Carousel,Text Hook,,Listicle,2025-08-02,62,13,3044,2494,132,30,7,66,,71,14,0
P047,@relatable.struggles,Family Pressure,Love in this house is served with conditions,Carousel,Text Hook,,Question,2025-08-03,63,9,1618,1325,65,21,16,25,,30,9,0
P048,@relatable.struggles,Self-Image & Comparison,Gym day 1 vs. day 2: the sequel nobody makes,Reel,Visual Hook,21,Storytelling,2025-08-04,64,19,375054,318970,17618,120,2729,4268,0.696,4687,1377,1
P049,@relatable.struggles,Social Anxiety,When the teacher says 'pair up',Reel,Visual Hook,15,Question,2025-08-06,66,20,27023,21112,1193,120,414,415,0.722,463,252,0
P050,@relatable.struggles,Dating & Situationships,'You deserve better' - from the person making me settle,Carousel,Text Hook,,Storytelling,2025-08-07,67,10,1130,884,44,9,3,22,,18,5,0
P051,@relatable.struggles,Money Struggles,Salary day is a 24-hour festival,Reel,Visual Hook,19,Listicle,2025-08-08,68,18,4394,3072,168,42,32,93,0.66,77,34,0
P052,@relatable.struggles,College & Hostel Life,That one 8am class that ruined a whole GPA,Reel,Text Hook,20,Question,2025-08-10,70,10,3125,2238,98,18,25,18,0.633,35,15,0
P053,@relatable.struggles,Family Pressure,"'Beta, shaadi ka plan?' - I'm 22",Reel,Text Hook,44,Storytelling,2025-08-11,71,20,348832,250381,13051,120,2620,3203,0.509,5438,1199,1
P054,@relatable.struggles,Self-Image & Comparison,Smiling in photos I hate myself in,Carousel,Text Hook,,Listicle,2025-08-13,73,13,3238,2572,129,30,9,62,,70,15,0
P055,@relatable.struggles,Social Anxiety,Being called 'quiet' like it's an accusation,Static Post,Text Hook,,Storytelling,2025-08-14,74,22,4749,3376,129,39,14,18,,70,10,0
P056,@relatable.struggles,Dating & Situationships,Falling for the 'let's see where this goes',Static Post,Text Hook,,Listicle,2025-08-15,75,21,2519,2143,91,6,5,17,,39,5,0
P057,@relatable.struggles,Money Struggles,Splitting the bill like a courtroom drama,Reel,Text Hook,55,Question,2025-08-17,77,14,22270,17754,934,120,270,251,0.443,278,170,0
P058,@relatable.struggles,College & Hostel Life,Laundry day: day 23 of the same hoodie,Static Post,Visual Hook,,Storytelling,2025-08-18,78,21,7225,5472,243,24,14,15,,66,6,0
P059,@relatable.struggles,Family Pressure,Explaining my degree for the 47th time at dinner,Static Post,Text Hook,,Listicle,2025-08-19,79,12,2252,1744,96,6,3,14,,52,4,0
P060,@relatable.struggles,Self-Image & Comparison,Aesthetic is a cage I built myself,Static Post,Text Hook,,Question,2025-08-21,81,10,901,700,38,4,8,5,,13,4,0
P061,@relatable.struggles,Social Anxiety,The walk of shame from the doorbell back to your room,Reel,Text Hook,19,Listicle,2025-08-22,82,9,3218,2260,128,9,29,56,0.79,34,26,0
P062,@relatable.struggles,Dating & Situationships,Reading the chat at 2am with a forensic lens,Reel,Text Hook,48,Question,2025-08-24,84,22,54762,39514,2256,120,557,397,0.321,1140,209,0
P063,@relatable.struggles,Money Struggles,Financial plan: win a lottery I never bought,Static Post,Text Hook,,Storytelling,2025-08-25,85,12,2183,1884,74,9,9,12,,43,6,0
P064,@relatable.struggles,College & Hostel Life,Result day heartbeat > any workout,Reel,Visual Hook,18,Listicle,2025-08-26,86,13,9845,7602,447,54,44,116,0.626,179,49,0
P065,@relatable.struggles,Family Pressure,Growing up before I was ready,Carousel,Text Hook,,Question,2025-08-28,88,10,2059,1511,77,12,15,35,,15,12,0
P066,@relatable.struggles,Self-Image & Comparison,Losing myself to look 'put together',Reel,Text Hook,51,Storytelling,2025-08-29,89,12,10148,8174,412,93,82,101,0.43,101,58,0
